x1,x2,x3,x4,x5,x6,x7,x8,x9
3.33,7.75,0.38,2.33,5.75,1.29,3.39,5.75,6.36
5.33,5.25,2.13,1.67,3.00,1.05,4.02,5.90,5.92
4.50,5.25,1.88,2.67,5.75,2.79,3.77,6.38,6.49
5.33,7.75,3.00,2.67,4.50,2.29,5.77,6.04,6.43
4.83,4.75,0.88,4.00,3.00,0.79,4.34,6.02,6.82
5.33,5.00,2.50,4.33,6.25,2.79,5.09,5.83,5.97
6.00,6.25,1.63,2.67,4.50,2.04,4.27,4.81,4.97
4.83,6.90,2.63,5.33,5.75,2.54,4.77,6.10,6.37
5.00,5.25,1.50,6.00,4.50,1.04,4.52,5.75,6.06
6.00,5.75,1.13,1.67,6.25,2.29,4.77,5.60,5.37
5.33,5.75,2.63,3.67,5.25,1.04,4.90,5.73,6.32
5.17,6.00,1.38,3.00,5.50,2.29,3.64,5.63,5.56
4.50,4.00,2.00,3.67,5.50,1.54,4.27,6.15,6.09
4.50,5.00,2.63,4.00,3.50,2.04,4.96,5.46,6.10
5.33,6.50,3.00,2.33,5.00,1.79,4.40,5.90,6.74
5.50,5.25,0.75,4.00,4.75,3.04,4.84,5.52,5.43
5.00,5.00,1.88,2.67,3.75,1.29,4.77,6.06,6.41
4.67,3.00,2.00,2.00,4.50,2.04,4.40,5.69,5.65
5.83,4.50,1.38,3.67,5.50,0.79,4.34,5.79,5.48
4.17,4.75,1.50,2.67,5.50,1.79,4.77,5.85,6.41
